model,level,category,sample_count,uniformity,rank_within_model
LAION,fine_category,cupboard opening or closing,247,-0.015132260508835316,1
LAION,fine_category,extending ladders,169,-0.4933311641216278,2
LAION,fine_category,chicken crowing,816,-0.7310552597045898,3
LAION,fine_category,scuba diving,711,-0.813987135887146,4
LAION,fine_category,playing banjo,802,-0.8236885070800781,5
LAION,fine_category,playing trombone,770,-0.8312309980392456,6
LAION,fine_category,playing accordion,787,-0.8572421669960022,7
LAION,fine_category,playing harp,748,-0.8600091934204102,8
LAION,fine_category,playing acoustic guitar,861,-0.8732507824897766,9
LAION,fine_category,playing french horn,643,-0.8840939402580261,10
LAION,fine_category,"pigeon, dove cooing",768,-0.8908165693283081,11
LAION,fine_category,"playing steel guitar, slide guitar",663,-0.9038192629814148,12
LAION,fine_category,playing cello,782,-0.9040539264678955,13
LAION,fine_category,playing mandolin,623,-0.9114255905151367,14
LAION,fine_category,people whispering,574,-0.9631991386413574,15
LAION,fine_category,cat purring,619,-0.965387225151062,16
LAION,fine_category,playing flute,778,-0.9713517427444458,17
LAION,fine_category,playing saxophone,790,-0.9714894890785217,18
LAION,fine_category,playing trumpet,630,-0.9850808382034302,19
LAION,fine_category,dog howling,705,-0.9981605410575867,20
M2D,fine_category,cupboard opening or closing,330,-0.009679281152784824,1
M2D,fine_category,extending ladders,224,-0.4055579900741577,2
M2D,fine_category,scuba diving,963,-0.5793750286102295,3
M2D,fine_category,people slurping,562,-0.6387253999710083,4
M2D,fine_category,playing harp,1048,-0.6900275945663452,5
M2D,fine_category,playing bagpipes,958,-0.6914301514625549,6
M2D,fine_category,playing harpsichord,1022,-0.6948205232620239,7
M2D,fine_category,playing hammond organ,1044,-0.7006340026855469,8
M2D,fine_category,"pigeon, dove cooing",1049,-0.703826367855072,9
M2D,fine_category,toilet flushing,1049,-0.7263039350509644,10
M2D,fine_category,playing sitar,858,-0.7401963472366333,11
M2D,fine_category,playing vibraphone,885,-0.741169810295105,12
M2D,fine_category,chainsawing trees,1048,-0.7455847859382629,13
M2D,fine_category,playing accordion,1049,-0.7464411854743958,14
M2D,fine_category,people eating apple,360,-0.747729480266571,15
M2D,fine_category,playing steelpan,504,-0.7565768361091614,16
M2D,fine_category,ambulance siren,1049,-0.7639820575714111,17
M2D,fine_category,chicken crowing,1048,-0.7659680843353271,18
M2D,fine_category,thunder,325,-0.7779281139373779,19
M2D,fine_category,playing acoustic guitar,1050,-0.7914161682128906,20
MGA,fine_category,cupboard opening or closing,330,-0.011773179285228252,1
MGA,fine_category,extending ladders,224,-0.5067983865737915,2
MGA,fine_category,playing accordion,1049,-0.7609281539916992,3
MGA,fine_category,chainsawing trees,1048,-0.7659152150154114,4
MGA,fine_category,playing cello,1050,-0.7922880053520203,5
MGA,fine_category,playing cymbal,1049,-0.821215033531189,6
MGA,fine_category,church bell ringing,804,-0.8336694240570068,7
MGA,fine_category,playing bagpipes,958,-0.8510105609893799,8
MGA,fine_category,playing harpsichord,1022,-0.8828399777412415,9
MGA,fine_category,playing hammond organ,1044,-0.9262446761131287,10
MGA,fine_category,"playing violin, fiddle",1047,-0.9464308023452759,11
MGA,fine_category,playing trombone,1050,-0.9471644163131714,12
MGA,fine_category,playing harp,1048,-0.974259078502655,13
MGA,fine_category,scuba diving,963,-0.9933922290802002,14
MGA,fine_category,playing saxophone,1049,-1.0025118589401245,15
MGA,fine_category,"pigeon, dove cooing",1049,-1.0046594142913818,16
MGA,fine_category,playing acoustic guitar,1050,-1.0122904777526855,17
MGA,fine_category,cat purring,861,-1.013916015625,18
MGA,fine_category,playing vibraphone,885,-1.0164399147033691,19
MGA,fine_category,playing electric guitar,1050,-1.034468173980713,20
MSCLAP,fine_category,cupboard opening or closing,137,-0.028737349435687065,1
MSCLAP,fine_category,extending ladders,108,-0.40157827734947205,2
MSCLAP,fine_category,church bell ringing,380,-0.5537239909172058,3
MSCLAP,fine_category,chainsawing trees,443,-0.5586550235748291,4
MSCLAP,fine_category,playing accordion,412,-0.6161056160926819,5
MSCLAP,fine_category,playing bagpipes,427,-0.6550369262695312,6
MSCLAP,fine_category,playing harp,358,-0.6668491959571838,7
MSCLAP,fine_category,"pigeon, dove cooing",439,-0.7063278555870056,8
MSCLAP,fine_category,ambulance siren,461,-0.7225489020347595,9
MSCLAP,fine_category,skidding,438,-0.7254645228385925,10
MSCLAP,fine_category,sea waves,130,-0.7305770516395569,11
MSCLAP,fine_category,scuba diving,376,-0.7425712943077087,12
MSCLAP,fine_category,thunder,145,-0.7438634037971497,13
MSCLAP,fine_category,police car (siren),440,-0.7573604583740234,14
MSCLAP,fine_category,playing steelpan,236,-0.7642056941986084,15
MSCLAP,fine_category,people clapping,383,-0.7719380259513855,16
MSCLAP,fine_category,fire truck siren,416,-0.7757343649864197,17
MSCLAP,fine_category,car engine knocking,413,-0.7871251702308655,18
MSCLAP,fine_category,playing harpsichord,471,-0.8103554248809814,19
MSCLAP,fine_category,playing banjo,461,-0.8193071484565735,20
